用户ID,商品ID,商品类目ID,行为类型,时间戳,时间,日期,小时,星期几
1,2576651,149192,点击,1511572885,2017-11-25 01:21:25,2017-11-25,1,5
1,3830808,4181361,点击,1511593493,2017-11-25 07:04:53,2017-11-25,7,5
1,4365585,2520377,点击,1511596146,2017-11-25 07:49:06,2017-11-25,7,5
1,4606018,2735466,点击,1511616481,2017-11-25 13:28:01,2017-11-25,13,5
1,230380,411153,点击,1511644942,2017-11-25 21:22:22,2017-11-25,21,5
1,3827899,2920476,点击,1511713473,2017-11-26 16:24:33,2017-11-26,16,6
1,3745169,2891509,点击,1511725471,2017-11-26 19:44:31,2017-11-26,19,6
1,1531036,2920476,点击,1511733732,2017-11-26 22:02:12,2017-11-26,22,6
1,2266567,4145813,点击,1511741471,2017-11-27 00:11:11,2017-11-27,0,0
1,2951368,1080785,点击,1511750828,2017-11-27 02:47:08,2017-11-27,2,0
1,3108797,2355072,点击,1511758881,2017-11-27 05:01:21,2017-11-27,5,0
1,1338525,149192,点击,1511773214,2017-11-27 09:00:14,2017-11-27,9,0
1,2286574,2465336,点击,1511797167,2017-11-27 15:39:27,2017-11-27,15,0
1,5002615,2520377,点击,1511839385,2017-11-28 03:23:05,2017-11-28,3,1
1,2734026,4145813,点击,1511842184,2017-11-28 04:09:44,2017-11-28,4,1
1,5002615,2520377,点击,1511844273,2017-11-28 04:44:33,2017-11-28,4,1
1,3239041,2355072,点击,1511855664,2017-11-28 07:54:24,2017-11-28,7,1
1,4615417,4145813,点击,1511870864,2017-11-28 12:07:44,2017-11-28,12,1
1,4152983,2355072,点击,1511871096,2017-11-28 12:11:36,2017-11-28,12,1
1,266784,2520771,点击,1511884553,2017-11-28 15:55:53,2017-11-28,15,1
1,46259,149192,点击,1511892772,2017-11-28 18:12:52,2017-11-28,18,1
1,266784,2520771,点击,1511909676,2017-11-28 22:54:36,2017-11-28,22,1
1,4092065,2355072,点击,1511910242,2017-11-28 23:04:02,2017-11-28,23,1
1,1305059,2520771,点击,1511911930,2017-11-28 23:32:10,2017-11-28,23,1
1,2791761,2355072,点击,1511914689,2017-11-29 00:18:09,2017-11-29,0,2
1,3239041,2355072,点击,1511939239,2017-11-29 07:07:19,2017-11-29,7,2
1,46259,149192,点击,1511940971,2017-11-29 07:36:11,2017-11-29,7,2
1,4973305,2520771,点击,1511969365,2017-11-29 15:29:25,2017-11-29,15,2
1,2087357,2131531,点击,1511975142,2017-11-29 17:05:42,2017-11-29,17,2
1,3157558,2520771,点击,1511984943,2017-11-29 19:49:03,2017-11-29,19,2
1,2087357,2131531,点击,1512004568,2017-11-30 01:16:08,2017-11-30,1,3
1,4170517,149192,点击,1512011019,2017-11-30 03:03:39,2017-11-30,3,3
1,1340922,4690421,点击,1512041260,2017-11-30 11:27:40,2017-11-30,11,3
1,3911125,982926,点击,1512044958,2017-11-30 12:29:18,2017-11-30,12,3
1,4170517,149192,点击,1512049438,2017-11-30 13:43:58,2017-11-30,13,3
1,3682069,4690421,点击,1512059832,2017-11-30 16:37:12,2017-11-30,16,3
1,4954999,411153,点击,1512061318,2017-11-30 17:01:58,2017-11-30,17,3
1,79715,2355072,点击,1512064350,2017-11-30 17:52:30,2017-11-30,17,3
1,4666650,4756105,点击,1512084223,2017-11-30 23:23:43,2017-11-30,23,3
1,1323189,3524510,点击,1512149435,2017-12-01 17:30:35,2017-12-01,17,4
1,4198227,1320293,点击,1512149929,2017-12-01 17:38:49,2017-12-01,17,4
1,4954999,411153,点击,1512172732,2017-12-01 23:58:52,2017-12-01,23,4
1,2041056,4801426,点击,1512187543,2017-12-02 04:05:43,2017-12-02,4,5
1,3219016,3002561,点击,1512190033,2017-12-02 04:47:13,2017-12-02,4,5
1,2104483,4756105,点击,1512194830,2017-12-02 06:07:10,2017-12-02,6,5
1,2028434,4801426,点击,1512224248,2017-12-02 14:17:28,2017-12-02,14,5
1,3219016,3002561,点击,1512244023,2017-12-02 19:47:03,2017-12-02,19,5
1,2278603,3002561,点击,1512251522,2017-12-02 21:52:02,2017-12-02,21,5
1,929177,4801426,点击,1512252443,2017-12-02 22:07:23,2017-12-02,22,5
100,1803559,1813868,点击,1511576533,2017-11-25 02:22:13,2017-11-25,2,5
100,1603476,2951233,购买,1511579908,2017-11-25 03:18:28,2017-11-25,3,5
100,3621238,1521931,点击,1511582166,2017-11-25 03:56:06,2017-11-25,3,5
100,2971043,4869428,购买,1511617549,2017-11-25 13:45:49,2017-11-25,13,5
100,2337874,1194311,点击,1511680485,2017-11-26 07:14:45,2017-11-26,7,6
100,4182583,1258177,点击,1511680521,2017-11-26 07:15:21,2017-11-26,7,6
100,2758020,2429887,点击,1511683649,2017-11-26 08:07:29,2017-11-26,8,6
100,4919803,2881542,点击,1511684032,2017-11-26 08:13:52,2017-11-26,8,6
100,3839112,2881542,点击,1511684109,2017-11-26 08:15:09,2017-11-26,8,6
100,4848310,2881542,点击,1511684220,2017-11-26 08:17:00,2017-11-26,8,6
100,3245421,2881542,点击,1511684245,2017-11-26 08:17:25,2017-11-26,8,6
100,2434962,3897386,点击,1511690835,2017-11-26 10:07:15,2017-11-26,10,6
100,3486895,4302328,点击,1511702025,2017-11-26 13:13:45,2017-11-26,13,6
100,3245421,2881542,点击,1511704155,2017-11-26 13:49:15,2017-11-26,13,6
100,3222578,2429887,点击,1511739395,2017-11-26 23:36:35,2017-11-26,23,6
100,2758020,2429887,点击,1511739402,2017-11-26 23:36:42,2017-11-26,23,6
100,2158340,2429887,点击,1511742127,2017-11-27 00:22:07,2017-11-27,0,0
100,2337874,1194311,点击,1511742199,2017-11-27 00:23:19,2017-11-27,0,0
100,3245421,2881542,收藏,1511742273,2017-11-27 00:24:33,2017-11-27,0,0
100,2758020,2429887,点击,1511742275,2017-11-27 00:24:35,2017-11-27,0,0
100,3245421,2881542,点击,1511742513,2017-11-27 00:28:33,2017-11-27,0,0
100,2752250,2429887,点击,1511742799,2017-11-27 00:33:19,2017-11-27,0,0
100,2158340,2429887,收藏,1511742875,2017-11-27 00:34:35,2017-11-27,0,0
100,598929,2429887,点击,1511742899,2017-11-27 00:34:59,2017-11-27,0,0
100,4182583,1258177,点击,1511745391,2017-11-27 01:16:31,2017-11-27,1,0
100,1819306,1194311,点击,1511745401,2017-11-27 01:16:41,2017-11-27,1,0
100,4182583,1258177,点击,1511750991,2017-11-27 02:49:51,2017-11-27,2,0
